0,0,7
0,1,1
0,2,11
0,3,15
0,4,3
0,5,14
0,6,10
0,7,9
0,8,6
0,9,2
0,10,4
0,11,5
0,12,13
0,13,12
0,14,8
0,15,16
1,0,10
1,1,2
1,2,4
1,3,8
1,4,6
1,5,1
1,6,15
1,7,12
1,8,16
1,9,3
1,10,13
1,11,11
1,12,9
1,13,7
1,14,5
1,15,14
2,0,9
2,1,3
2,2,5
2,3,14
2,4,2
2,5,16
2,6,8
2,7,13
2,8,7
2,9,15
2,10,12
2,11,10
2,12,11
2,13,1
2,14,6
2,15,4
3,0,12
3,1,13
3,2,6
3,3,16
3,4,4
3,5,11
3,6,7
3,7,5
3,8,9
3,9,8
3,10,1
3,11,14
3,12,2
3,13,15
3,14,10
3,15,3
4,0,8
4,1,9
4,2,10
4,3,12
4,4,5
4,5,15
4,6,13
4,7,2
4,8,1
4,9,4
4,10,3
4,11,7
4,12,16
4,13,11
4,14,14
4,15,6
5,0,2
5,1,16
5,2,13
5,3,6
5,4,14
5,5,4
5,6,1
5,7,3
5,8,10
5,9,11
5,10,5
5,11,8
5,12,7
5,13,9
5,14,12
5,15,15
6,0,5
6,1,7
6,2,14
6,3,3
6,4,8
6,5,12
6,6,11
6,7,6
6,8,2
6,9,9
6,10,16
6,11,15
6,12,4
6,13,10
6,14,13
6,15,1
7,0,11
7,1,15
7,2,1
7,3,4
7,4,9
7,5,10
7,6,16
7,7,7
7,8,14
7,9,12
7,10,6
7,11,13
7,12,3
7,13,8
7,14,2
7,15,5
8,0,3
8,1,11
8,2,12
8,3,2
8,4,16
8,5,13
8,6,4
8,7,15
8,8,5
8,9,10
8,10,7
8,11,6
8,12,1
8,13,14
8,14,9
8,15,8
9,0,1
9,1,8
9,2,9
9,3,7
9,4,10
9,5,3
9,6,6
9,7,11
9,8,13
9,9,14
9,10,15
9,11,12
9,12,5
9,13,16
9,14,4
9,15,2
10,0,6
10,1,4
10,2,15
10,3,5
10,4,1
10,5,7
10,6,2
10,7,14
10,8,11
10,9,16
10,10,8
10,11,9
10,12,10
10,13,13
10,14,3
10,15,12
11,0,14
11,1,10
11,2,16
11,3,13
11,4,12
11,5,5
11,6,9
11,7,8
11,8,4
11,9,1
11,10,2
11,11,3
11,12,15
11,13,6
11,14,7
11,15,11
12,0,13
12,1,14
12,2,2
12,3,9
12,4,15
12,5,8
12,6,3
12,7,16
12,8,12
12,9,5
12,10,10
12,11,1
12,12,6
12,13,4
12,14,11
12,15,7
13,0,16
13,1,5
13,2,3
13,3,1
13,4,11
13,5,6
13,6,12
13,7,10
13,8,8
13,9,7
13,10,9
13,11,4
13,12,14
13,13,2
13,14,15
13,15,13
14,0,4
14,1,6
14,2,8
14,3,11
14,4,7
14,5,9
14,6,5
14,7,1
14,8,15
14,9,13
14,10,14
14,11,2
14,12,12
14,13,3
14,14,16
14,15,10
15,0,15
15,1,12
15,2,7
15,3,10
15,4,13
15,5,2
15,6,14
15,7,4
15,8,3
15,9,6
15,10,11
15,11,16
15,12,8
15,13,5
15,14,1
15,15,9
